NO,PLAYER,TEAM,POS,ESPN_RK,ESPN_RAT,ELIAS_RK,ELIAS_RAT,AVG RK
48,Wade Davis,KC,RP,96,25.5,15,90.4,55.5
48,Adrian Beltre,TEX,3B,25,51.6,86,77.2,55.5
50,Justin Upton,ATL,LF,40,43.8,74,78.7,57
51,Doug Fister,WSH,SP,57,38,59,81.3,58
52,Todd Frazier,CIN,3B,51,40,70,79.9,60.5
53,Alex Gordon,KC,LF,61,35,66,80.3,63.5
54,Casey McGehee,MIA,3B,76,29,54,82,65
55,Jonathan Papelbon,PHI,RP,105,23.6,27,88.4,66
56,Josh Harrison,PIT,3B,88,26.6,46,83.2,67
57,Lucas Duda,NYM,1B,58,37.8,80,78.1,69
58,Neil Walker,PIT,2B,105,23.6,35,84.9,70
59,Scott Atchison,CLE,RP,--,--,71,78.8,71
59,David Price,DET,SP,66,33.2,76,78.4,71
59,Starling Marte,PIT,LF,99,24.7,43,83.6,71
62,Henderson Alvarez,MIA,SP,77,28.8,69,80.1,73
62,Corey Dickerson,COL,LF,68,32.6,78,78.3,73
62,Carlos Gomez,MIL,CF,28,50.6,118,73.5,73
65,Jake McGee,TB,RP,117,20.9,31,87.4,74
66,Lance Lynn,STL,SP,62,34.5,87,77,74.5
67,Aroldis Chapman,CIN,RP,82,27.6,68,80.1,75
68,Howie Kendrick,LAA,2B,39,44.3,112,74.2,75.5
69,Joe Smith,LAA,RP,118,20.7,38,84.2,78
70,Zack Greinke,LAD,SP,42,43.3,115,73.7,78.5
71,Julio Teheran,ATL,SP,67,33,92,76.4,79.5
72,Tanner Roark,WSH,SP,79,28.6,81,78.1,80
73,J.D. Martinez,DET,LF,73,30,90,76.6,81.5
74,Jose Reyes,TOR,SS,70,31.2,96,76.1,83
75,Melky Cabrera,TOR,LF,59,36.5,108,74.8,83.5
75,Brian Dozier,MIN,2B,32,47.4,135,71.3,83.5
77,Ken Giles,PHI,RP,--,--,84,77.3,84
78,Mark Melancon,PIT,RP,80,28.5,89,76.7,84.5
79,Paul Goldschmidt,ARI,1B,72,30.4,98,75.9,85
80,Chris Carter,HOU,DH,100,24.5,75,78.6,87.5
81,Ian Desmond,WSH,SS,56,38,122,73.2,89
82,Tony Watson,PIT,RP,146,16.2,33,85.7,89.5
83,James Shields,KC,SP,97,25.4,83,77.8,90
84,Edwin Encarnacion,TOR,1B,41,43.6,140,70.3,90.5
84,Jason Heyward,ATL,RF,118,20.7,63,80.8,90.5
86,Joaquin Benoit,SD,RP,124,19.8,58,81.5,91
86,Madison Bumgarner,SF,SP,54,38.3,128,72.2,91
88,Kyle Seager,SEA,3B,54,38.3,132,71.7,93
88,Ian Kinsler,DET,2B,35,46.4,151,69.5,93
90,Matt Kemp,LAD,LF,50,40.9,138,71.3,94
91,David Robertson,NYY,RP,138,17.3,53,82.1,95.5
92,Darren O'Day,BAL,RP,137,17.4,57,81.6,97
93,Pat Neshek,STL,RP,111,22.2,85,77.3,98
93,Jacoby Ellsbury,NYY,CF,123,19.8,73,78.7,98
95,Adam Jones,BAL,CF,27,50.9,172,67.3,99.5
95,Collin McHugh,HOU,SP,104,23.7,95,76.2,99.5
95,Jeff Samardzija,OAK,SP,74,29.6,125,72.6,99.5
98,Carlos Carrasco,CLE,RP,157,14.7,48,83,102.5
99,Alex Cobb,TB,SP,129,19.2,77,78.3,103
100,Russell Martin,PIT,C,81,27.8,126,72.5,103.5
