NO,PLAYER,TEAM,POS,ESPN_RK,ESPN_RAT,ELIAS_RK,ELIAS_RAT,AVG RK
40,Tyler Clippard,WSH,RP,82,27.2,13,94.1,53.5
41,C.J. Wilson,TEX,SP,32,48.5,41,83.5,54.8
42,Josh Hamilton,TEX,LF,76,29.9,20,90.1,55.8
43,David Robertson,NYY,RP,104,21.9,24,89.6,57.3
43,Tim Lincecum,SF,SP,56,37.4,51,81.5,57.3
45,Carlos Gonzalez,COL,LF,46,41.2,76,75.8,57.8
46,Josh Beckett,BOS,SP,63,35,29,87.9,58.3
47,Mariano Rivera,NYY,RP,62,35.1,37,84.6,59
48,Giancarlo Stanton,FLA,RF,60,36,78,75.6,59.3
49,Victor Martinez,DET,DH,30,52,44,83.1,60.5
50,Matt Holliday,STL,LF,70,32.3,62,78.9,64.5
51,Brandon Phillips,CIN,2B,43,41.9,108,72.1,65.5
52,Mike Napoli,TEX,C,40,44.4,157,67.1,66.8
53,Shane Victorino,PHI,CF,68,32.8,56,80.7,67.5
54,Matt Cain,SF,SP,58,37.1,65,77.8,69
54,Craig Kimbrel,ATL,RP,47,39.9,81,74.7,69
56,J.J. Putz,ARI,RP,49,39.6,30,87.8,69.5
57,Aramis Ramirez,CHC,3B,34,47.4,31,86.5,71.3
58,Mike Adams,TEX,RP,78,29.4,121,71.3,73.3
59,Koji Uehara,TEX,RP,85,26.1,90,73.7,75
59,Adrian Beltre,TEX,3B,49,39.6,155,67.6,75
61,Pablo Sandoval,SF,3B,118,20,61,79.2,76.3
62,Ben Zobrist,TB,2B,41,44.1,132,70.2,80.3
63,Jonny Venters,ATL,RP,115,20.4,15,93.1,82.5
63,Greg Holland,KC,RP,91,24.6,42,83.5,82.5
65,John Axford,MIL,RP,69,32.7,21,90,83.5
66,Melky Cabrera,KC,CF,36,46.5,139,69.2,86.5
67,Jonathan Papelbon,BOS,RP,129,17.7,33,85.7,87
68,Michael Bourn,ATL,CF,67,33.1,105,72.4,89.3
69,Sergio Romo,SF,RP,--,--,119,71.4,90.7
70,Drew Storen,WSH,RP,84,26.4,47,82.7,92
71,Eric O'Flaherty,ATL,RP,179,12,50,81.6,93.5
72,Yunel Escobar,TOR,SS,122,19,67,77.5,95.3
73,Felix Hernandez,SEA,SP,73,31.4,91,73.7,98.3
74,Starlin Castro,CHC,SS,51,39,249,59.8,101.3
75,Nick Swisher,NYY,RF,54,37.6,204,63.4,101.8
76,Madison Bumgarner,SF,SP,89,25.5,123,71,104.5
77,B.J. Upton,TB,CF,83,26.4,134,69.8,105.5
78,Carlos Santana,CLE,C,66,33.9,201,63.5,106
79,Todd Helton,COL,1B,119,19.8,143,68.8,106.3
79,Miguel Montero,ARI,C,113,20.6,159,66.8,106.3
81,Sean Marshall,CHC,RP,158,14.1,116,71.4,106.5
82,Jhonny Peralta,DET,SS,103,22,189,64.2,107
83,Joel Hanrahan,PIT,RP,77,29.6,66,77.7,107.3
84,Elvis Andrus,TEX,SS,79,28.8,225,62,108.8
85,Kevin Youkilis,BOS,3B,101,22.5,126,70.8,109
85,Ervin Santana,LAA,SP,97,22.8,112,71.5,109
87,Billy Butler,KC,DH,56,37.4,170,65.9,109.5
88,Jeremy Hellickson,TB,SP,75,30.2,73,76.3,109.8
89,Chris Young,ARI,CF,88,25.6,55,80.9,110
90,Neil Walker,PIT,2B,106,21.8,100,72.5,111.8
91,Yadier Molina,STL,C,140,15.8,77,75.7,116
92,Adam Jones,BAL,CF,146,15.4,151,67.8,116.3
93,Justin Masterson,CLE,SP,80,27.8,53,81.4,116.8
93,Daniel Hudson,ARI,SP,94,24.2,111,71.7,116.8
95,Ryan Madson,PHI,RP,124,18.3,54,81.3,117.5
95,Nyjer Morgan,MIL,CF,124,18.3,125,70.8,117.5
97,Tim Hudson,ATL,SP,71,32.1,92,73.4,118
98,Jay Bruce,CIN,RF,52,39,160,66.8,119.8
99,Corey Hart,MIL,RF,97,22.8,208,62.9,120
100,Carlos Lee,HOU,LF,99,22.7,217,62.5,121.3
