,Rank,Player,Team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ERA.1,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,Year
32,1.0,나이트,키움,2.2,30.0,16.0,4.0,0.0,0.0,0.8,208 2/3,180.0,6.0,53.0,7.0,102.0,60.0,51.0,1.12,2.2,2.0,1.0,27.0,0.0,832.0,3013.0,0.24,35.0,1.0,16.0,6.0,1.0,2.0,0.0,2012
33,2.0,노경은,두산,2.53,42.0,12.0,6.0,0.0,7.0,0.667,146,106.0,6.0,69.0,8.0,133.0,46.0,41.0,1.2,2.53,2.0,2.0,15.0,2.0,608.0,2296.0,0.204,17.0,0.0,8.0,4.0,1.0,9.0,0.0,2012
34,3.0,유먼,롯데,2.55,29.0,13.0,7.0,0.0,1.0,0.65,179 2/3,156.0,10.0,56.0,1.0,142.0,58.0,51.0,1.18,2.55,2.0,1.0,18.0,0.0,726.0,2794.0,0.239,23.0,0.0,12.0,4.0,0.0,7.0,0.0,2012
35,4.0,서재응,KIA,2.59,29.0,9.0,8.0,0.0,0.0,0.529,160,143.0,7.0,51.0,7.0,97.0,51.0,46.0,1.21,2.59,2.0,2.0,16.0,0.0,663.0,2465.0,0.242,23.0,1.0,13.0,2.0,5.0,0.0,0.0,2012
36,5.0,류현진,한화,2.66,27.0,9.0,9.0,0.0,0.0,0.5,182 2/3,153.0,12.0,46.0,5.0,210.0,58.0,54.0,1.09,2.66,1.0,0.0,22.0,0.0,734.0,2843.0,0.23199999999999998,18.0,1.0,22.0,2.0,6.0,3.0,1.0,2012
37,6.0,김진우,KIA,2.9,24.0,10.0,5.0,0.0,0.0,0.667,133 2/3,110.0,2.0,50.0,10.0,101.0,47.0,43.0,1.2,2.9,2.0,1.0,12.0,0.0,558.0,2137.0,0.228,20.0,0.0,10.0,5.0,0.0,5.0,1.0,2012
38,7.0,이용찬,두산,3.0,26.0,10.0,11.0,0.0,0.0,0.47600000000000003,162,154.0,5.0,63.0,6.0,113.0,58.0,54.0,1.34,3.0,3.0,1.0,17.0,0.0,679.0,2610.0,0.259,36.0,4.0,12.0,4.0,1.0,7.0,0.0,2012
39,8.0,윤석민,KIA,3.12,28.0,9.0,8.0,0.0,0.0,0.529,153,120.0,9.0,33.0,8.0,137.0,60.0,53.0,1.0,3.12,3.0,2.0,15.0,0.0,619.0,2377.0,0.215,26.0,7.0,16.0,3.0,0.0,4.0,2.0,2012
40,9.0,니퍼트,두산,3.2,29.0,11.0,10.0,0.0,0.0,0.524,194,156.0,15.0,68.0,8.0,126.0,70.0,69.0,1.15,3.2,3.0,0.0,20.0,0.0,785.0,3027.0,0.226,25.0,3.0,15.0,3.0,0.0,3.0,0.0,2012
41,10.0,배영수,삼성,3.21,26.0,12.0,8.0,0.0,0.0,0.6,160,159.0,7.0,39.0,3.0,89.0,64.0,57.0,1.24,3.21,2.0,0.0,15.0,0.0,658.0,2390.0,0.264,28.0,3.0,5.0,9.0,1.0,5.0,0.0,2012
42,11.0,밴헤켄,키움,3.28,28.0,11.0,8.0,0.0,0.0,0.579,170,166.0,16.0,60.0,3.0,132.0,68.0,62.0,1.33,3.28,0.0,0.0,16.0,0.0,716.0,2798.0,0.261,26.0,0.0,17.0,1.0,1.0,11.0,0.0,2012
43,12.0,송승준,롯데,3.31,28.0,7.0,11.0,0.0,0.0,0.389,163,158.0,12.0,57.0,8.0,117.0,73.0,60.0,1.32,3.31,0.0,0.0,15.0,0.0,687.0,2723.0,0.265,19.0,0.0,23.0,3.0,0.0,5.0,0.0,2012
44,13.0,윤희상,SK,3.36,28.0,10.0,9.0,0.0,0.0,0.526,163 1/3,164.0,10.0,49.0,6.0,100.0,66.0,61.0,1.3,3.36,0.0,0.0,16.0,0.0,693.0,2570.0,0.262,28.0,3.0,9.0,3.0,1.0,5.0,0.0,2012
45,14.0,주키치,LG,3.45,30.0,11.0,8.0,0.0,1.0,0.579,177 1/3,179.0,6.0,54.0,4.0,96.0,75.0,68.0,1.31,3.45,0.0,0.0,18.0,0.0,750.0,2677.0,0.268,20.0,10.0,19.0,4.0,0.0,9.0,1.0,2012
46,15.0,소사,KIA,3.54,23.0,9.0,8.0,0.0,0.0,0.529,147 1/3,137.0,9.0,39.0,8.0,104.0,62.0,58.0,1.19,3.54,4.0,1.0,17.0,0.0,614.0,2279.0,0.252,19.0,3.0,17.0,6.0,1.0,3.0,1.0,2012
47,16.0,장원삼,삼성,3.55,27.0,17.0,6.0,0.0,1.0,0.7390000000000001,157,143.0,9.0,38.0,9.0,127.0,64.0,62.0,1.15,3.55,0.0,0.0,14.0,0.0,649.0,2511.0,0.242,19.0,4.0,5.0,5.0,1.0,2.0,0.0,2012
