Rank,Player,Team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
14,정성훈,LG,0.329,112,455,383,71,126,25,1,13,192,59,2,4,59,2,7,56,13,0.501,0.424,0.925,34,0.259,0.333
15,피에,한화,0.326,119,498,445,61,145,33,2,17,233,92,0,12,41,1,0,60,11,0.524,0.373,0.897,44,0.315,0
16,이진영,LG,0.325,119,468,412,53,134,19,2,6,175,65,2,9,45,5,0,48,10,0.425,0.384,0.809,34,0.339,0
17,이대형,KIA,0.323,126,505,461,75,149,15,9,1,185,40,5,2,35,2,2,57,5,0.401,0.372,0.773,47,0.298,0.75
18,김현수,두산,0.322,125,528,463,75,149,26,0,17,226,90,0,5,53,5,7,45,10,0.488,0.396,0.884,42,0.316,0
19,황재균,롯데,0.321,128,550,486,66,156,33,3,12,231,76,4,4,53,0,3,86,8,0.475,0.388,0.863,48,0.343,0
20,오재원,두산,0.318,110,420,359,60,114,21,6,5,162,40,9,0,50,2,2,61,7,0.451,0.404,0.855,28,0.223,0.25
21,채태인,삼성,0.317,124,541,492,69,156,38,1,14,238,99,0,6,41,1,2,91,8,0.484,0.368,0.852,45,0.362,0
22,송광민,한화,0.316,103,421,389,52,123,22,2,11,182,58,4,2,26,2,0,73,15,0.468,0.357,0.825,33,0.281,0
23,유한준,키움,0.316,122,469,405,71,128,31,0,20,219,91,8,7,46,0,3,53,9,0.541,0.384,0.925,38,0.328,0.167
24,홍성흔,두산,0.315,124,521,447,63,141,19,1,20,222,82,5,1,64,0,4,79,13,0.497,0.405,0.902,42,0.323,0
25,박석민,삼성,0.315,110,425,356,77,112,21,0,27,214,72,0,3,54,3,12,62,12,0.601,0.419,1.02,29,0.298,0.5
26,나지완,KIA,0.312,118,470,398,64,124,22,0,19,203,79,0,6,54,4,12,97,9,0.51,0.404,0.914,35,0.281,0.25
27,박정권,SK,0.31,120,499,452,81,140,33,2,27,258,109,0,4,41,2,2,106,6,0.571,0.367,0.938,38,0.338,0.5
28,박종윤,롯데,0.309,123,476,440,59,136,31,4,7,196,73,4,6,22,2,4,65,10,0.445,0.343,0.788,40,0.324,0.636
29,칸투,두산,0.309,111,419,376,56,116,25,1,18,197,72,0,2,34,0,7,85,11,0.524,0.375,0.899,34,0.258,0.083
30,이승엽,삼성,0.308,127,548,506,83,156,30,0,32,282,101,0,2,40,3,0,77,10,0.557,0.358,0.915,47,0.293,0
31,나바로,삼성,0.308,125,602,500,118,154,27,1,31,276,98,0,5,96,1,1,71,7,0.552,0.417,0.969,46,0.407,0
32,정수빈,두산,0.306,128,507,431,79,132,18,7,6,182,49,22,2,41,1,11,68,8,0.422,0.379,0.801,32,0.361,0.667
33,이택근,키움,0.306,122,527,441,87,135,32,1,21,232,91,12,10,51,0,13,43,10,0.526,0.386,0.912,38,0.308,0
34,이병규,LG,0.306,116,450,360,66,110,28,3,16,192,87,3,8,74,2,5,78,7,0.533,0.423,0.956,27,0.327,0.125
35,박병호,키움,0.303,128,571,459,126,139,16,2,52,315,124,0,4,96,3,12,142,13,0.686,0.433,1.119,39,0.292,1
36,김강민,SK,0.302,113,483,430,86,130,29,3,16,213,82,2,4,43,0,4,91,12,0.495,0.368,0.863,37,0.358,1
37,박민우,NC,0.298,118,491,416,87,124,21,9,1,166,40,4,4,56,0,11,89,5,0.399,0.392,0.791,31,0.38,0.5
38,정근우,한화,0.295,125,549,464,91,137,28,5,6,193,44,7,3,66,0,9,56,11,0.416,0.391,0.807,44,0.248,0.333
39,정훈,롯데,0.294,124,558,477,89,140,27,7,3,190,58,6,2,62,0,11,105,10,0.398,0.386,0.784,41,0.306,0
40,김민성,키움,0.292,116,486,438,60,128,29,2,12,197,77,5,3,30,1,10,80,10,0.45,0.349,0.799,38,0.292,0.333
41,신종길,KIA,0.292,103,399,360,60,105,24,6,9,168,51,5,3,29,0,2,92,2,0.467,0.345,0.812,29,0.233,0.333
42,전준우,롯데,0.292,113,470,415,69,121,23,2,14,190,66,9,3,34,0,9,71,10,0.458,0.356,0.814,37,0.293,0.2
43,손주인,LG,0.29,120,400,341,50,99,11,0,5,125,30,17,4,30,0,8,42,8,0.367,0.358,0.725,28,0.288,0.4
44,김상수,삼성,0.288,128,493,427,74,123,20,8,5,174,63,10,8,41,1,7,77,7,0.407,0.354,0.761,35,0.312,0
45,이용규,한화,0.288,104,418,358,62,103,12,4,0,123,20,2,1,52,0,5,46,5,0.344,0.385,0.729,27,0.208,0.286
46,이종욱,NC,0.288,124,495,438,73,126,28,4,6,180,78,1,13,40,0,3,60,5,0.411,0.342,0.753,36,0.348,0.667
47,최준석,롯데,0.286,121,460,371,54,106,13,0,23,188,90,0,6,81,3,2,88,14,0.507,0.411,0.918,25,0.3,0.214
48,김성현,SK,0.284,122,476,398,73,113,20,1,5,150,43,10,6,55,0,7,51,7,0.377,0.376,0.753,29,0.25,0
49,나주환,SK,0.273,127,478,422,64,115,25,0,7,161,51,14,3,36,0,3,101,8,0.382,0.332,0.714,26,0.209,0.5
50,이호준,NC,0.271,122,500,424,59,115,20,0,23,204,78,1,5,67,0,3,104,15,0.481,0.371,0.852,32,0.241,0.25
51,이범호,KIA,0.269,105,406,350,47,94,23,0,19,174,82,0,4,41,1,11,89,9,0.497,0.36,0.857,24,0.293,0
52,모창민,NC,0.263,122,468,419,62,110,15,0,16,173,72,8,4,37,0,0,82,13,0.413,0.32,0.733,22,0.263,0.667
53,오지환,LG,0.262,113,464,397,72,104,20,8,8,164,56,6,3,51,2,7,102,8,0.413,0.354,0.767,21,0.359,0
54,조동화,SK,0.262,125,522,443,74,116,12,5,2,144,52,28,4,43,1,4,72,8,0.325,0.33,0.655,26,0.328,0.143
55,김재호,두산,0.252,122,421,341,50,86,14,1,3,111,54,13,11,54,0,2,59,14,0.326,0.348,0.674,21,0.298,0
