Rank,Player,Team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
22,김재호,두산,0.307,133,488,410,63,126,24,3,3,165,50,14,7,54,0,3,42,18,0.402,0.386,0.788,33,0.306,0
23,최준석,롯데,0.306,144,618,507,78,155,18,1,31,268,109,1,1,108,4,1,134,17,0.529,0.428,0.957,38,0.34,0
24,박민우,NC,0.304,141,617,520,111,158,31,6,3,210,47,3,7,73,0,14,108,4,0.404,0.399,0.803,44,0.379,0.6
25,민병헌,두산,0.303,129,561,491,80,149,20,2,12,209,75,6,6,50,0,8,74,15,0.426,0.373,0.799,47,0.323,0.5
26,김민성,키움,0.303,118,489,445,60,135,24,0,16,207,71,2,3,31,1,8,62,15,0.465,0.357,0.822,40,0.257,0.333
27,이대형,KT,0.302,140,616,546,86,165,23,3,0,194,37,10,1,53,0,6,92,5,0.355,0.37,0.725,44,0.29,0.667
28,정훈,롯데,0.3,135,562,486,85,146,27,2,9,204,62,7,3,52,2,14,102,14,0.42,0.382,0.802,40,0.295,0.429
29,김성현,SK,0.297,129,449,397,49,118,20,0,8,162,48,12,2,31,0,7,42,14,0.408,0.357,0.765,34,0.324,0.6
30,정수빈,두산,0.295,128,570,491,79,145,27,7,2,192,59,19,6,43,1,11,70,9,0.391,0.361,0.752,42,0.32,0
31,김종호,NC,0.295,133,486,424,90,125,16,7,4,167,36,10,3,44,0,4,65,11,0.394,0.364,0.758,34,0.27,0.125
32,이호준,NC,0.294,131,518,449,48,132,25,0,24,229,110,3,2,61,7,3,102,16,0.51,0.381,0.891,34,0.314,0.167
33,박해민,삼성,0.293,144,608,525,96,154,22,7,0,190,47,23,2,56,1,2,126,8,0.362,0.362,0.724,40,0.294,0.333
34,황재균,롯데,0.29,144,596,534,95,155,41,2,26,278,97,4,6,48,1,4,122,14,0.521,0.35,0.871,43,0.242,0.308
35,김하성,키움,0.29,140,582,511,89,148,35,5,19,250,73,4,6,56,2,5,115,10,0.489,0.362,0.851,42,0.26,0
36,나바로,삼성,0.287,140,643,534,126,153,19,1,48,318,137,1,9,93,8,6,72,10,0.596,0.393,0.989,41,0.271,0
37,박경수,KT,0.284,137,537,440,75,125,30,1,22,223,73,6,4,74,1,13,115,8,0.507,0.399,0.906,38,0.288,0.333
38,장성우,KT,0.284,133,491,433,55,123,20,1,13,184,77,3,9,46,1,0,85,12,0.425,0.346,0.771,31,0.286,0
39,이재원,SK,0.282,140,559,489,58,138,18,1,17,209,100,0,5,54,5,11,85,22,0.427,0.363,0.79,37,0.319,0
40,박정권,SK,0.281,124,494,438,66,123,23,0,21,209,70,4,2,46,1,4,119,9,0.477,0.353,0.83,33,0.261,0.5
41,스나이더,키움,0.281,113,487,431,88,121,26,1,26,227,71,3,5,37,0,11,135,2,0.527,0.349,0.876,37,0.21,0.143
42,김상현,KT,0.28,134,539,475,71,133,20,0,27,234,88,0,6,50,4,8,115,21,0.493,0.354,0.847,37,0.25,0.667
43,오재원,두산,0.28,120,474,411,60,115,20,2,11,172,59,7,4,47,1,4,94,9,0.418,0.356,0.774,27,0.293,0.4
44,김상수,삼성,0.278,132,518,449,67,125,30,4,8,187,63,13,7,43,0,6,56,9,0.416,0.345,0.761,35,0.287,0.333
45,오지환,LG,0.278,138,566,497,76,138,41,4,11,220,56,3,3,59,1,4,121,2,0.443,0.357,0.8,39,0.264,0
46,이범호,KIA,0.27,138,514,437,60,118,25,0,28,227,79,0,4,57,1,16,91,16,0.519,0.372,0.891,29,0.245,0
47,이종욱,NC,0.268,125,504,440,63,118,25,2,5,162,52,4,3,54,6,3,78,5,0.368,0.35,0.718,29,0.256,0
48,지석훈,NC,0.267,137,466,415,53,111,15,0,11,159,46,9,3,23,0,16,85,9,0.383,0.328,0.711,26,0.24,0
49,브라운,SK,0.261,137,539,464,82,121,21,2,28,230,76,0,2,66,4,7,127,12,0.496,0.36,0.856,31,0.232,0.4
50,김태군,NC,0.254,144,474,421,45,107,24,0,6,149,52,11,7,25,0,10,77,12,0.354,0.307,0.661,26,0.238,0
51,손시헌,NC,0.245,140,508,440,56,108,24,2,13,175,58,13,5,36,0,14,66,16,0.398,0.319,0.717,25,0.261,0
