Rank,Player,Team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
14,김주찬,롯데,0.294,118,488,435,62,128,27,3,5,176,39,11,5,30,1,7,48,7,0.405,0.346,0.751,39,0.278,0.333
15,홍성흔,롯데,0.292,113,443,390,48,114,20,0,15,179,74,1,3,47,3,2,83,10,0.459,0.369,0.828,29,0.297,0.5
16,김현수,두산,0.291,122,491,437,47,127,17,1,7,167,65,0,5,46,2,3,50,9,0.382,0.358,0.74,34,0.384,0
17,박병호,키움,0.29,133,560,469,76,136,34,0,31,263,105,0,7,73,3,11,111,6,0.561,0.393,0.954,40,0.316,0
18,안치홍,KIA,0.288,132,558,489,60,141,31,2,3,185,64,14,7,42,4,6,74,12,0.378,0.347,0.725,41,0.364,0
19,이용규,KIA,0.283,125,580,491,86,139,14,2,2,163,37,10,3,66,0,10,38,9,0.332,0.377,0.709,38,0.292,0
20,김선빈,KIA,0.281,126,532,441,63,124,19,2,5,162,55,25,6,58,0,2,48,9,0.367,0.363,0.73,30,0.331,0.667
21,이대수,한화,0.279,118,425,376,36,105,23,4,4,148,48,14,5,27,0,3,57,9,0.394,0.328,0.722,22,0.274,0.4
22,양의지,두산,0.279,122,416,359,39,100,22,1,5,139,27,9,1,37,2,10,51,17,0.387,0.361,0.748,24,0.212,0.125
23,김상수,삼성,0.274,129,489,419,64,115,18,4,2,147,36,16,6,41,1,7,56,8,0.351,0.345,0.696,27,0.224,0
24,나지완,KIA,0.274,124,480,398,40,109,17,1,11,161,56,8,5,56,4,13,93,9,0.405,0.377,0.782,29,0.264,0.125
25,강민호,롯데,0.273,119,454,400,41,109,21,0,19,187,66,0,2,44,2,8,97,9,0.468,0.355,0.823,27,0.265,0.25
26,황재균,롯데,0.272,133,504,448,42,122,19,1,4,155,51,11,2,38,3,5,81,10,0.346,0.335,0.681,29,0.28,0.5
27,김강민,SK,0.272,123,474,427,49,116,20,0,5,151,31,11,3,29,0,4,72,7,0.354,0.322,0.676,32,0.243,0.4
28,최형우,삼성,0.271,125,531,461,51,125,27,1,14,196,77,0,10,55,3,5,76,20,0.425,0.348,0.773,33,0.265,0
29,서건창,키움,0.266,127,501,433,70,115,21,10,1,159,40,13,3,45,0,7,43,4,0.367,0.342,0.709,30,0.277,0
30,정근우,SK,0.266,127,534,467,53,124,13,4,8,169,46,12,2,47,3,6,33,10,0.362,0.339,0.701,31,0.295,0.4
31,장성호,한화,0.263,130,501,429,57,113,28,0,9,168,52,1,2,67,1,2,63,11,0.392,0.364,0.756,29,0.24,0.273
32,오선진,한화,0.263,110,446,399,33,105,18,3,3,138,41,13,2,25,0,7,65,7,0.346,0.316,0.662,31,0.3,0
33,박종윤,롯데,0.257,121,459,416,41,107,19,4,9,161,47,15,1,22,5,5,64,10,0.387,0.302,0.689,26,0.252,0.167
34,박정권,SK,0.255,122,472,416,61,106,18,1,12,162,59,6,3,43,2,4,80,7,0.389,0.328,0.717,28,0.252,0.5
35,전준우,롯데,0.253,122,520,459,63,116,22,4,7,167,38,6,3,45,0,7,103,16,0.364,0.327,0.691,26,0.24,0
36,오지환,LG,0.249,133,540,462,66,115,22,2,12,177,53,9,8,55,4,6,122,6,0.383,0.331,0.714,29,0.195,0
37,최진행,한화,0.248,120,471,395,59,98,26,0,17,175,55,0,4,66,3,6,109,11,0.443,0.361,0.804,25,0.24,0
38,장기영,키움,0.246,116,475,414,64,102,9,5,8,145,35,14,4,40,0,3,67,1,0.35,0.315,0.665,22,0.231,1
39,배영섭,삼성,0.245,122,479,412,64,101,15,2,2,126,34,7,3,48,0,9,69,4,0.306,0.335,0.641,28,0.26,0.143
40,이종욱,두산,0.24,121,497,437,57,105,17,1,0,124,39,9,5,43,2,3,43,2,0.284,0.309,0.593,23,0.263,0
