Year,Team,IP,K,ERA,WHIP
2011,CIN,93.08666666666666,71.4,3.9086666666666665,1.3106666666666664
2011,CLE,91.17333333333333,63.8,4.13,1.3486666666666665
2011,COL,77.30588235294118,60.11764705882353,4.47,1.3647058823529412
2011,CWS,103.5076923076923,85.61538461538461,4.138461538461539,1.3099999999999998
2011,DET,108.87272727272726,82.81818181818181,3.939999999999999,1.3463636363636367
2011,FLA,95.62142857142858,79.28571428571429,3.932857142857143,1.3121428571428573
2011,HOU,89.86,74.46666666666667,4.451333333333333,1.4573333333333334
2011,KC,88.94666666666666,65.06666666666666,4.680666666666666,1.4560000000000002
2011,LAA,110.00833333333333,81.16666666666667,3.5475000000000008,1.3141666666666665
2011,LAD,81.17058823529412,72.11764705882354,3.7941176470588234,1.2999999999999998
2011,MIL,113.77272727272727,97.0,3.491818181818182,1.2045454545454546
2011,MIN,84.86874999999999,56.25,4.721875,1.4625
2011,NYM,85.49375,67.0,4.060624999999999,1.3918750000000002
2011,NYY,103.05,83.25,3.6891666666666665,1.3008333333333333
2011,OAK,75.93333333333334,61.166666666666664,3.6933333333333334,1.3316666666666668
2011,PHI,115.00833333333333,100.41666666666667,3.39,1.215
2011,PIT,81.1125,57.875,4.108125,1.465
2011,SD,99.61538461538463,78.0,3.3915384615384605,1.2976923076923077
2011,SEA,86.15625,65.375,4.3175,1.3250000000000002
2011,SF,103.5923076923077,91.6923076923077,3.735384615384615,1.3392307692307692
2011,STL,97.27142857142859,72.0,3.882142857142857,1.2921428571428575
2011,TB,94.1266666666667,73.73333333333333,3.750666666666666,1.2899999999999998
2011,TEX,94.49999999999999,77.0,3.910714285714286,1.24
2011,TOR,81.20588235294117,65.0,4.2288235294117635,1.3341176470588234
2011,WAS,83.65333333333335,57.333333333333336,3.7666666666666666,1.3246666666666667
2012,ARI,86.46874999999997,72.4375,3.9068750000000003,1.273125
2012,ATL,92.11818181818184,72.63636363636364,4.15090909090909,1.3918181818181818
2012,BAL,79.55555555555554,64.0,3.6466666666666665,1.2750000000000001
2012,BOS,89.77857142857142,72.5,4.878571428571429,1.3750000000000002
2012,CHC,68.49473684210527,55.10526315789474,4.899473684210527,1.4742105263157892
2012,CIN,113.47499999999998,92.25,3.1541666666666663,1.2341666666666666
2012,CLE,75.53333333333333,57.888888888888886,4.547222222222222,1.388333333333333
2012,COL,67.26,54.6,5.282000000000002,1.5484999999999998
2012,CWS,82.24705882352943,70.76470588235294,4.23235294117647,1.3211764705882352
2012,DET,95.03571428571429,88.85714285714286,3.570714285714286,1.2657142857142858
2012,HOU,70.50526315789473,58.05263157894737,4.521052631578947,1.4536842105263157
2012,KC,79.47058823529413,64.88235294117646,4.054117647058824,1.4205882352941173
2012,LAA,92.84666666666668,75.6,3.89,1.2746666666666668
2012,LAD,80.95882352941177,71.82352941176471,3.197058823529412,1.266470588235294
2012,MIA,91.62666666666668,70.93333333333334,4.004666666666668,1.3399999999999999
2012,MIL,81.53529411764707,79.76470588235294,4.276470588235295,1.3699999999999999
2012,MIN,66.84761904761905,44.19047619047619,4.852380952380953,1.4042857142857144
2012,NYM,78.72941176470587,70.0,4.482941176470589,1.371176470588235
2012,NYY,94.05333333333333,86.53333333333333,3.732666666666667,1.2813333333333332
2012,OAK,75.14210526315789,58.1578947368421,3.6,1.2578947368421054
2012,PHI,84.92499999999998,80.5,4.195625,1.275
2012,PIT,84.87499999999999,70.8125,3.674375,1.28375
2012,SD,64.23500000000001,52.05,4.219999999999999,1.3805
2012,SEA,85.38823529411765,68.58823529411765,3.6535294117647057,1.2558823529411764
2012,SF,101.18461538461537,85.76923076923077,3.869230769230769,1.3661538461538463
2012,STL,108.28333333333335,90.33333333333333,3.5991666666666666,1.255
2012,TB,100.13846153846151,93.23076923076923,3.3023076923076924,1.1730769230769231
2012,TEX,85.57499999999997,75.6875,3.94625,1.2981249999999998
