,R,TH,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,PCT
185,33.57142857142857,65.71428571428571,43.476190476190474,12.904761904761905,1.5714285714285714,7.761904761904762,31.761904761904763,6.619047619047619,2.4285714285714284,21.0,54.19047619047619,1.2380952380952381,2.0952380952380953,2.380952380952381,0.22833333333333333,0.27466666666666667,0.3423333333333333,0.617,0.562
186,35.18181818181818,65.0909090909091,41.45454545454545,13.909090909090908,1.3181818181818181,8.409090909090908,33.31818181818182,6.090909090909091,1.4090909090909092,24.136363636363637,56.04545454545455,1.2272727272727273,2.727272727272727,2.227272727272727,0.22422727272727272,0.2854545454545454,0.34759090909090906,0.6330454545454546,0.5489999999999999
187,37.68181818181818,68.5,42.86363636363637,14.363636363636363,2.0454545454545454,9.227272727272727,35.59090909090909,3.0,1.7727272727272727,21.818181818181817,55.5,1.2272727272727273,1.5454545454545454,1.7727272727272727,0.2607272727272727,0.31259090909090914,0.42277272727272736,0.7353636363636362,0.5489999999999999
188,29.73913043478261,61.91304347826087,41.21739130434783,12.0,1.434782608695652,7.260869565217392,28.47826086956522,3.347826086956522,1.565217391304348,19.782608695652176,55.43478260869565,1.2608695652173914,1.9130434782608696,2.3043478260869565,0.2577391304347826,0.3123913043478261,0.3701304347826087,0.6825217391304348,0.537
189,35.142857142857146,69.28571428571429,46.095238095238095,11.904761904761905,1.3333333333333333,9.952380952380953,33.904761904761905,2.761904761904762,1.3333333333333333,23.0,59.80952380952381,0.7619047619047619,1.8095238095238095,2.4761904761904763,0.2511904761904762,0.31100000000000005,0.3959047619047619,0.7069047619047618,0.537
190,32.86363636363637,62.04545454545455,38.5,13.227272727272727,1.3181818181818181,9.0,31.227272727272727,4.636363636363637,2.0,25.181818181818183,65.77272727272727,1.0,1.4090909090909092,2.1363636363636362,0.20209090909090913,0.26213636363636367,0.3342272727272727,0.5963636363636364,0.534
191,31.571428571428573,68.0952380952381,47.38095238095238,12.285714285714286,1.5714285714285714,6.857142857142857,29.952380952380953,5.761904761904762,1.6666666666666667,17.904761904761905,56.80952380952381,1.619047619047619,1.619047619047619,2.142857142857143,0.22490476190476194,0.2724285714285714,0.3323333333333333,0.6047619047619047,0.531
192,31.130434782608695,61.21739130434783,41.43478260869565,12.130434782608695,0.8695652173913043,6.782608695652174,29.82608695652174,3.1739130434782608,1.4782608695652173,20.434782608695652,42.78260869565217,1.565217391304348,2.130434782608696,2.217391304347826,0.22769565217391305,0.2805652173913043,0.35221739130434787,0.6327826086956522,0.531
193,29.583333333333332,55.875,35.916666666666664,11.25,0.875,7.833333333333333,27.625,1.875,1.0833333333333333,21.541666666666668,50.0,0.20833333333333334,1.3333333333333333,2.4166666666666665,0.22112500000000002,0.28354166666666664,0.34520833333333334,0.6287499999999998,0.519
194,29.272727272727273,64.72727272727273,45.31818181818182,11.681818181818182,1.9090909090909092,5.818181818181818,27.818181818181817,3.227272727272727,1.2727272727272727,20.045454545454547,49.36363636363637,0.6818181818181818,1.6818181818181819,2.4545454545454546,0.2653181818181818,0.3104090909090909,0.39740909090909093,0.7078181818181817,0.519
195,28.565217391304348,55.21739130434783,35.34782608695652,10.695652173913043,0.8260869565217391,8.347826086956522,27.347826086956523,7.869565217391305,2.4347826086956523,25.73913043478261,61.30434782608695,0.9130434782608695,1.6521739130434783,1.565217391304348,0.21226086956521742,0.30586956521739134,0.3406521739130434,0.6465217391304349,0.5
196,34.333333333333336,66.95238095238095,42.04761904761905,13.714285714285714,1.6666666666666667,9.523809523809524,32.857142857142854,4.333333333333333,1.5238095238095237,24.333333333333332,67.23809523809524,1.1904761904761905,2.0476190476190474,2.0952380952380953,0.23109523809523816,0.30014285714285716,0.3783333333333333,0.6784761904761906,0.491
197,27.083333333333332,54.458333333333336,35.208333333333336,9.583333333333334,0.75,8.916666666666666,26.5,1.75,0.75,20.875,48.666666666666664,0.4583333333333333,1.625,2.5833333333333335,0.25329166666666664,0.3260416666666666,0.421125,0.7471666666666668,0.484
198,28.333333333333332,57.416666666666664,38.75,10.208333333333334,0.8333333333333334,7.625,26.958333333333332,3.0,0.9166666666666666,19.75,48.916666666666664,0.7916666666666666,2.0416666666666665,1.75,0.24225000000000005,0.29770833333333335,0.40420833333333334,0.7019166666666666,0.48100000000000004
199,25.72,53.36,35.28,10.64,0.8,6.64,24.88,2.0,0.84,17.16,44.2,0.4,1.32,1.32,0.21363999999999997,0.26683999999999997,0.32572,0.59256,0.46299999999999997
200,27.0,57.5,38.54545454545455,10.045454545454545,1.5909090909090908,7.318181818181818,25.545454545454547,4.363636363636363,2.0454545454545454,18.772727272727273,57.63636363636363,1.1818181818181819,1.3636363636363635,2.590909090909091,0.2192727272727273,0.28363636363636363,0.34477272727272723,0.6284090909090909,0.457
