,IP,H,K,BB,HR,ERA,WHIP,PCT
47,62.71304347826087,64.43478260869566,48.95652173913044,22.347826086956523,6.391304347826087,4.442173913043478,1.416521739130435,0.488
48,51.8,50.82142857142857,43.642857142857146,18.107142857142858,5.428571428571429,4.198214285714286,1.5157142857142856,0.475
49,55.44615384615384,53.07692307692308,44.61538461538461,19.96153846153846,5.230769230769231,4.2688461538461535,1.4165384615384615,0.457
50,66.89999999999998,60.0,59.04545454545455,18.363636363636363,5.454545454545454,3.3536363636363635,1.3445454545454545,0.451
51,57.711999999999996,60.52,41.24,21.4,6.08,4.525200000000001,1.5412000000000001,0.444
52,65.61363636363636,60.18181818181818,51.77272727272727,23.681818181818183,5.681818181818182,4.346818181818182,1.560909090909091,0.444
53,68.0047619047619,65.19047619047619,51.80952380952381,20.761904761904763,6.904761904761905,4.134285714285714,1.3323809523809527,0.43799999999999994
54,86.06470588235294,74.11764705882354,77.41176470588235,32.88235294117647,5.647058823529412,3.858235294117647,1.3552941176470588,0.43799999999999994
55,63.24782608695652,63.47826086956522,47.65217391304348,19.434782608695652,5.869565217391305,4.79304347826087,1.4556521739130437,0.43799999999999994
56,68.76666666666668,60.142857142857146,54.42857142857143,24.0,7.666666666666667,4.388095238095238,1.4042857142857141,0.426
57,57.475999999999985,53.08,47.16,18.44,6.8,4.5280000000000005,1.3236,0.414
58,50.055172413793095,49.41379310344828,40.310344827586206,18.620689655172413,6.172413793103448,6.748275862068965,1.890344827586207,0.389
59,60.14583333333332,58.458333333333336,43.708333333333336,19.875,5.375,3.5291666666666672,1.3295833333333331,0.34600000000000003
60,62.130434782608674,62.26086956521739,52.17391304347826,18.130434782608695,6.739130434782608,6.173043478260871,1.6691304347826088,0.605
61,68.61428571428571,62.38095238095238,58.666666666666664,22.095238095238095,6.904761904761905,3.4119047619047613,1.2252380952380955,0.599
62,59.015999999999984,57.24,47.0,19.2,7.36,4.4656,1.5748000000000002,0.586
63,57.48400000000001,57.88,47.04,21.08,7.56,5.1812000000000005,1.4984,0.58
64,48.46206896551725,48.206896551724135,38.89655172413793,19.75862068965517,6.0344827586206895,9.540689655172415,2.0572413793103443,0.58
65,85.30588235294117,79.76470588235294,73.41176470588235,25.11764705882353,8.941176470588236,3.3617647058823525,1.3370588235294119,0.58
66,59.879166666666656,62.625,45.25,22.625,7.25,4.947916666666667,1.4279166666666665,0.574
67,52.38148148148149,60.629629629629626,42.370370370370374,20.962962962962962,7.333333333333333,5.595555555555557,1.6425925925925924,0.574
68,60.029166666666676,56.833333333333336,51.916666666666664,20.916666666666668,7.75,4.314583333333332,1.3908333333333331,0.556
69,61.99999999999999,61.26086956521739,57.30434782608695,19.043478260869566,6.565217391304348,4.76,1.5347826086956524,0.5489999999999999
70,56.715999999999994,59.6,46.8,21.6,6.88,5.2304,1.5423999999999998,0.5429999999999999
71,60.15833333333333,62.625,49.041666666666664,22.583333333333332,6.791666666666667,5.2437499999999995,1.668333333333333,0.5429999999999999
72,62.095652173913045,58.21739130434783,50.30434782608695,21.0,8.08695652173913,5.1143478260869575,1.5439130434782609,0.531
73,57.66000000000001,51.08,51.04,21.56,4.88,5.1288,1.47,0.525
74,68.38095238095238,68.95238095238095,53.0,23.571428571428573,6.333333333333333,5.271428571428572,1.51,0.512
75,63.060869565217395,63.391304347826086,60.95652173913044,22.82608695652174,7.3478260869565215,4.609130434782609,1.4678260869565216,0.5
76,59.708333333333336,64.0,39.25,19.333333333333332,8.25,4.944166666666668,1.4133333333333333,0.5
77,50.914285714285704,48.857142857142854,44.285714285714285,17.428571428571427,5.75,8.382142857142856,1.707142857142857,0.488
78,65.42272727272726,63.68181818181818,59.90909090909091,19.59090909090909,8.636363636363637,5.513181818181819,1.5322727272727272,0.469
79,58.57599999999999,54.4,45.44,18.48,5.88,4.2132000000000005,1.456,0.46299999999999997
80,60.258333333333326,57.791666666666664,57.708333333333336,17.041666666666668,7.416666666666667,4.23375,1.410416666666667,0.457
81,59.44999999999999,56.5,49.666666666666664,20.375,6.333333333333333,4.430416666666667,1.39,0.451
82,47.550000000000004,45.2,40.166666666666664,17.966666666666665,5.4,4.318333333333332,1.3876666666666668,0.444
83,80.70555555555556,75.5,64.77777777777777,24.944444444444443,9.222222222222221,4.950555555555556,1.4777777777777779,0.426
84,62.81304347826086,59.17391304347826,53.78260869565217,21.26086956521739,6.173913043478261,4.320869565217392,1.4943478260869567,0.426
85,60.72083333333333,59.166666666666664,50.75,18.166666666666668,5.583333333333333,4.5962499999999995,1.4058333333333335,0.42
86,80.9111111111111,68.5,76.83333333333333,26.055555555555557,7.722222222222222,4.559444444444445,1.322777777777778,0.40700000000000003
87,71.90999999999998,68.75,64.3,22.25,8.75,4.5945,1.3304999999999998,0.395
88,43.46060606060606,43.484848484848484,34.60606060606061,17.363636363636363,6.181818181818182,8.309696969696969,1.9263636363636363,0.377
89,76.9736842105263,68.21052631578948,69.73684210526316,26.157894736842106,6.7894736842105265,3.9921052631578946,1.3273684210526313,0.34
90,64.72608695652173,63.47826086956522,52.95652173913044,21.08695652173913,7.6521739130434785,4.311739130434782,1.4008695652173915,0.599
91,68.88571428571429,63.142857142857146,58.666666666666664,19.476190476190474,6.0476190476190474,3.5138095238095235,1.3009523809523809,0.599
92,55.669230769230765,55.30769230769231,44.96153846153846,18.192307692307693,7.769230769230769,6.252307692307692,1.656923076923077,0.593
93,57.90799999999999,54.64,51.76,20.92,6.24,4.5916,1.4924000000000002,0.593
94,46.52903225806451,42.96774193548387,38.193548387096776,17.419354838709676,5.161290322580645,4.359677419354839,1.441612903225807,0.58
95,73.45000000000002,64.7,64.8,21.75,8.5,4.462000000000001,1.2665000000000002,0.574
96,53.18148148148146,50.333333333333336,51.03703703703704,20.51851851851852,5.444444444444445,4.337777777777778,1.4811111111111113,0.568
97,62.160869565217396,67.17391304347827,46.26086956521739,22.47826086956522,5.913043478260869,5.011304347826087,1.5317391304347825,0.568
98,63.00434782608694,61.91304347826087,54.26086956521739,22.08695652173913,7.913043478260869,4.446956521739132,1.4704347826086959,0.564
99,72.865,68.45,71.4,23.1,6.4,5.3035000000000005,1.5245,0.5579999999999999
100,57.33599999999998,61.2,43.36,24.64,7.64,5.0524000000000004,1.5792,0.556
101,72.19499999999996,68.3,60.4,23.45,7.75,2.5445,1.2154999999999998,0.531
102,55.884615384615365,56.73076923076923,46.15384615384615,20.5,6.423076923076923,8.976153846153846,1.8915384615384616,0.531
103,57.72799999999998,52.72,51.64,18.2,5.08,4.641199999999999,1.536,0.525
104,55.91153846153847,52.92307692307692,45.26923076923077,20.23076923076923,4.653846153846154,5.2153846153846155,1.6415384615384616,0.525
105,68.47619047619048,66.71428571428571,53.57142857142857,22.19047619047619,8.333333333333334,3.700476190476191,1.3009523809523809,0.5
106,65.7090909090909,72.31818181818181,44.77272727272727,20.818181818181817,7.636363636363637,4.960909090909091,1.398181818181818,0.48100000000000004
107,52.46071428571428,51.464285714285715,43.17857142857143,16.321428571428573,5.392857142857143,4.4607142857142845,1.4324999999999999,0.469
108,62.7304347826087,63.130434782608695,53.608695652173914,19.0,7.434782608695652,7.774782608695652,1.6013043478260869,0.469
109,80.51111111111112,74.38888888888889,65.72222222222223,23.77777777777778,9.055555555555555,3.9977777777777783,1.4083333333333332,0.457
110,57.208,58.4,47.92,20.12,6.08,4.644,1.5263999999999998,0.457
111,54.24074074074075,48.111111111111114,46.7037037037037,19.074074074074073,3.740740740740741,4.303703703703704,1.4266666666666665,0.457
112,63.047826086956526,61.17391304347826,50.91304347826087,22.82608695652174,6.782608695652174,3.7926086956521736,1.3556521739130434,0.457
113,66.39999999999999,66.68181818181819,58.95454545454545,21.727272727272727,7.909090909090909,4.768181818181818,1.3772727272727272,0.451
114,68.67619047619048,65.71428571428571,59.80952380952381,24.80952380952381,6.904761904761905,5.064761904761905,1.4676190476190474,0.43799999999999994
115,58.14399999999997,54.64,50.16,18.04,4.48,4.5076,1.3660000000000003,0.40700000000000003
116,72.91499999999999,65.75,65.5,24.1,7.65,3.443,1.327,0.40700000000000003
117,60.68749999999999,57.041666666666664,54.5,20.75,6.541666666666667,4.058333333333333,1.4120833333333334,0.389
118,46.59032258064515,46.806451612903224,38.96774193548387,16.129032258064516,6.290322580645161,6.28225806451613,1.7016129032258067,0.38299999999999995
119,68.55238095238094,65.0952380952381,58.857142857142854,19.285714285714285,6.761904761904762,6.2890476190476186,1.5538095238095235,0.315
120,57.512,58.68,51.12,18.76,6.16,5.884799999999999,1.5268000000000002,0.605
121,72.50499999999998,68.45,65.05,23.6,6.05,3.135,1.2884999999999998,0.593
