
Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
66,Ervin Santana\santaer01,2019-02-23,Chicago White Sox,MIN,36,8.1,14,46,103,11,13,0,8,0,2,.126,.143,.155,.298,149,125,4.06,1.269,384,381,0,2408.0,2307,316,748,1921
67,Preston Tucker\tuckepr01,2019-02-23,Chicago White Sox,ATL,28,-1.5,3,243,600,65,133,23,68,0,41,.222,.281,.403,.684,,,,,,,,,,,,
68,Manny Machado\machama01,2019-02-21,San Diego Padres,LAD,26,16.2,7,926,3720,522,1050,175,513,53,296,.282,.335,.487,.822,,,,,,,,,,,,
69,Trevor Plouffe\plouftr01,2019-02-21,Philadelphia Phillies,PHI,33,-0.1,9,830,2933,364,710,106,379,12,246,.242,.304,.410,.714,,,,,,,,,,,,
70,Derek Dietrich\dietrde01,2019-02-19,Cincinnati Reds,MIA,29,4.5,6,608,1879,268,477,60,204,5,144,.254,.335,.422,.757,,,,,,,,,,,,
71,Nick Hundley\hundlni01,2019-02-19,Oakland Athletics,SFG,35,0.6,11,943,3027,314,752,91,371,15,217,.248,.300,.406,.706,,,,,,,,,,,,
72,Mike Moustakas\moustmi01,2019-02-19,Milwaukee Brewers,MIL,30,5.1,8,988,3611,408,908,147,474,15,263,.251,.307,.431,.737,,,,,,,,,,,,
73,Tyler Pill\pillty01,2019-02-19,Texas Rangers,LAD,29,-0.3,1,,,,,,,,,,,,,,,,,,,,,,,,
74,Ramon Torres\torrera01,2019-02-19,Chicago White Sox,KCR,26,-0.1,2,42,102,13,23,0,5,1,5,.225,.269,.265,.533,,,,,,,,,,,,
75,Luke Bard\bardlu01,2019-02-18,Los Angeles Angels,MIN,28,0.0,1,0,0,0,0,0,0,0,0,,,,,0,0,5.40,1.286,8,0,0,11.2,10,4,5,13
76,Rookie Davis\davisro03,2019-02-18,Pittsburgh Pirates,CIN,26,-0.8,1,7,6,0,1,0,0,0,0,.167,.286,.333,.619,1,3,8.63,2.167,7,6,0,24.0,38,7,14,20
77,Adeiny Hechavarria\hechaad01,2019-02-18,New York Mets,NYY,30,3.5,7,811,2809,270,714,28,238,32,145,.254,.290,.345,.635,,,,,,,,,,,,
78,Yangervis Solarte\solarya01,2019-02-18,San Francisco Giants,TOR,31,2.8,5,642,2334,273,605,74,300,6,185,.259,.317,.410,.728,,,,,,,,,,,,
79,Aaron Loup\loupaa01,2019-02-17,San Diego Padres,PHI,31,1.1,7,29,1,0,0,0,0,0,0,.000,.000,.000,.000,12,20,3.49,1.271,378,0,6,322.2,311,25,99,299
80,Adam Moore\mooread01,2019-02-16,Texas Rangers,TBR,35,-0.1,9,104,292,21,58,7,23,2,13,.199,.239,.312,.550,,,,,,,,,,,,
81,Robbie Grossman\grossro01,2019-02-15,Oakland Athletics,MIN,29,2.4,6,537,1776,239,455,36,193,20,265,.256,.355,.378,.732,,,,,,,,,,,,
82,Sergio Romo\romose01,2019-02-15,Miami Marlins,TBR,36,1.7,11,533,7,0,0,0,0,0,0,.000,.000,.000,.000,38,31,2.86,1.006,643,5,109,562.2,438,59,128,632
83,Xavier Cedeno\cedenxa01,2019-02-14,Chicago Cubs,MIL,32,0.9,8,96,1,0,0,0,0,0,0,.000,.000,.000,.000,10,7,3.69,1.366,249,0,3,175.2,171,16,69,174
84,Andrew Faulkner\faulkan01,2019-02-14,Los Angeles Dodgers,BAL,26,-0.3,3,,,,,,,,,,,,,,,,,,,,,,,,
85,Tim Federowicz\federti01,2019-02-14,Cleveland Indians,CIN,31,-0.3,7,134,331,25,66,8,32,0,20,.199,.247,.323,.570,,,,,,,,,,,,
86,Craig Gentry\gentrcr01,2019-02-14,San Francisco Giants,BAL,35,0.9,10,601,1242,180,325,7,104,94,102,.262,.333,.339,.672,,,,,,,,,,,,
87,Gerardo Parra\parrage01,2019-02-14,San Francisco Giants,COL,32,-1.6,10,1347,4487,582,1248,79,474,88,293,.278,.325,.405,.730,,,,,,,,,,,,
88,Stephen Vogt\vogtst01,2019-02-14,San Francisco Giants,MIL,34,1.9,6,521,1643,181,413,57,218,1,139,.251,.310,.416,.726,,,,,,,,,,,,
89,Asher Wojciechowski\wojcias01,2019-02-14,Cleveland Indians,CHW,30,-1.0,2,23,14,0,1,0,0,0,0,.071,.071,.071,.143,4,4,6.64,1.525,30,11,0,78.2,94,16,26,80
90,Brett Anderson\anderbr04,2019-02-13,Oakland Athletics,OAK,31,-0.7,10,53,79,1,8,0,5,0,6,.101,.165,.139,.304,46,52,4.09,1.341,157,145,3,821.1,884,78,217,592
91,Jake Diekman\diekmja01,2019-02-13,Kansas City Royals,ARI,32,1.4,7,209,0,0,0,0,0,0,0,,,,,14,15,3.75,1.397,365,0,7,312.0,267,20,169,383
92,Jandel Gustave\gustaja01,2019-02-13,San Francisco Giants,HOU,26,0.1,2,0,0,0,0,0,0,0,0,,,,,1,0,3.98,1.426,20,0,0,20.1,18,2,11,18
93,Caleb Joseph\josepca01,2019-02-13,Arizona Diamondbacks,BAL,33,1.0,5,402,1217,126,272,31,122,2,71,.224,.271,.353,.623,,,,,,,,,,,,
94,Aaron Barrett\barreaa01,2019-02-12,Washington Nationals,WSN,31,,2,83,0,0,0,0,0,0,0,,,,,6,3,3.47,1.257,90,0,0,70.0,61,2,27,84
95,Vidal Nuno III\nunovi01,2019-02-12,Washington Nationals,TBR,31,1.6,6,24,28,2,4,0,2,0,0,.143,.172,.143,.315,8,21,4.06,1.279,155,42,0,377.0,377,65,105,312
96,Brandon Snyder\snydebr03,2019-02-12,Washington Nationals,TBR,32,0.3,6,122,200,27,48,9,29,0,7,.240,.276,.455,.731,,,,,,,,,,,,
97,Brad Brach\brachbr01,2019-02-11,Chicago Cubs,ATL,33,4.0,8,159,1,0,0,0,0,0,0,.000,.000,.000,.000,31,23,3.08,1.274,424,0,33,456.0,380,46,201,482
98,Melky Cabrera\cabreme01,2019-02-11,Pittsburgh Pirates,CLE,34,2.3,14,1754,6500,852,1856,137,807,99,493,.286,.335,.418,.753,,,,,,,,,,,,
99,Zach Duke\dukeza01,2019-02-11,Cincinnati Reds,SEA,36,2.5,14,347,318,17,57,2,23,0,12,.179,.208,.220,.428,66,90,4.30,1.447,540,169,4,1336.2,1533,128,401,836
100,Francisco Pena\penafr01,2019-02-11,St. Louis Cardinals,STL,29,-0.8,5,86,190,18,41,5,13,1,8,.216,.249,.311,.559,,,,,,,,,,,,
101,Homer Bailey\baileho02,2019-02-09,Kansas City Royals,LAD,33,-2.6,12,205,368,22,59,0,17,0,11,.160,.187,.182,.369,67,77,4.56,1.377,212,212,0,1230.1,1287,153,407,1001
102,Tyler Cloyd\cloydty01,2019-02-09,Tampa Bay Rays,MIA,32,-0.4,4,23,32,3,3,0,1,0,5,.094,.216,.125,.341,5,9,6.35,1.652,27,17,0,112.0,143,18,42,85
103,Jeremy Hellickson\hellije01,2019-02-08,Washington Nationals,WSN,32,4.9,9,100,166,7,24,0,14,0,9,.145,.197,.175,.371,74,72,4.07,1.239,223,216,0,1230.1,1159,175,365,899
104,Mike Miller\millemi01,2019-02-08,Boston Red Sox,BOS,29,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,
105,Sean Rodriguez\rodrise01,2019-02-08,Philadelphia Phillies,PIT,34,1.1,11,1023,2447,320,553,77,286,41,206,.226,.300,.380,.680,,,,,,,,,,,,
106,Marc Rzepczynski\rzepcma01,2019-02-08,Arizona Diamondbacks,SEA,33,0.9,10,175,1,0,0,0,0,0,0,.000,.000,.000,.000,14,27,3.89,1.436,506,23,2,434.2,419,36,205,409
107,Brad Boxberger\boxbebr01,2019-02-07,Kansas City Royals,ARI,31,-0.3,7,115,3,0,0,0,0,0,0,.000,.000,.000,.000,20,27,3.42,1.280,291,0,76,284.1,219,40,145,368
108,Matt Davidson\davidma02,2019-02-07,Texas Rangers,CHW,28,0.4,4,273,926,103,209,49,143,0,81,.226,.295,.435,.730,0,0,0.00,0.667,3,0,0,3.0,1,0,1,2
109,Sherman Johnson\johnssh01,2019-02-07,Cincinnati Reds,LAA,28,-0.2,1,10,10,0,0,0,0,0,0,.000,.091,.000,.091,,,,,,,,,,,,
110,Nate Karns\karnsna01,2019-02-07,Baltimore Orioles,KCR,31,1.1,5,7,8,1,1,1,1,0,0,.125,.125,.500,.625,16,11,4.37,1.339,63,54,1,310.2,292,47,124,321
111,J.D. Martin\martijd01,2019-02-07,Los Angeles Dodgers,TBR,36,,9,,,,,,,,,,,,,,,,,,,,,,,,
112,Devin Mesoraco\mesorde01,2019-02-07,New York Mets,NYM,31,0.4,8,468,1402,152,325,58,192,4,138,.232,.309,.406,.715,,,,,,,,,,,,
113,Hunter Pence\pencehu01,2019-02-07,Texas Rangers,SFG,36,1.3,12,1607,6082,834,1701,224,877,114,491,.280,.334,.458,.792,,,,,,,,,,,,
114,Jason Coats\coatsja01,2019-02-06,Tampa Bay Rays,TBR,29,0.2,2,,,,,,,,,,,,,,,,,,,,,,,,
115,Nick Franklin\frankni01,2019-02-06,Pittsburgh Pirates,MIL,28,0.1,6,301,833,83,178,24,96,17,77,.214,.285,.359,.644,,,,,,,,,,,,
116,Tom Koehler\koehlto01,2019-02-06,Pittsburgh Pirates,LAD,33,-1.1,6,,,,,,,,,,,,,,,,,,,,,,,,
117,Justin Nicolino\nicolju01,2019-02-06,Minnesota Twins,CIN,27,-1.1,3,,,,,,,,,,,,,,,,,,,,,,,,
118,Cody Asche\ascheco01,2019-02-05,Los Angeles Dodgers,NYM,29,-1.7,5,,,,,,,,,,,,,,,,,,,,,,,,
119,Curtis Granderson\grandcu01,2019-02-05,Miami Marlins,MIL,38,5.4,15,1919,6919,1173,1742,332,903,153,883,.252,.340,.470,.810,,,,,,,,,,,,
120,Ty Kelly\kellyty01,2019-02-05,Los Angeles Angels,NYM,30,0.1,3,118,158,21,32,3,21,0,20,.203,.288,.323,.611,,,,,,,,,,,,
121,Jesus Sucre\sucreje01,2019-02-05,Baltimore Orioles,TBR,31,0.4,6,223,597,47,133,10,66,3,26,.223,.259,.308,.568,0,0,18.00,3.500,5,0,0,4.0,12,1,2,0
122,Francisco Liriano\liriafr01,2019-02-04,Pittsburgh Pirates,DET,35,0.3,13,113,217,7,33,2,15,0,8,.152,.182,.194,.376,107,111,4.18,1.359,350,300,1,1743.2,1589,176,781,1752
123,Jonathan Aro\arojo01,2019-02-01,Atlanta Braves,SDP,28,0.1,3,,,,,,,,,,,,,,,,,,,,,,,,
124,Tony Barnette\barneto01,2019-02-01,Chicago Cubs,TEX,35,2.5,3,6,0,0,0,0,0,0,0,,,,,11,4,3.50,1.250,125,0,2,144.0,137,13,43,132
125,Jason Hammel\hammeja01,2019-02-01,Texas Rangers,KCR,36,1.3,13,189,344,21,52,1,21,0,7,.151,.168,.183,.351,96,114,4.62,1.373,377,298,4,1810.1,1919,232,567,1428
126,Wade Miley\mileywa01,2019-02-01,Houston Astros,MIL,32,1.5,8,126,239,12,37,1,12,0,9,.155,.185,.188,.374,71,76,4.26,1.388,216,212,0,1236.1,1287,134,429,975
127,Greg Holland\hollagr01,2019-01-31,Arizona Diamondbacks,WSN,33,1.3,8,132,0,0,0,0,0,0,0,,,,,23,20,2.83,1.181,426,0,189,423.1,317,25,183,547
128,Ian Krol\krolia01,2019-01-30,Cincinnati Reds,NYM,28,0.6,6,145,3,0,0,0,0,0,0,.000,.000,.000,.000,8,6,4.50,1.468,225,0,1,190.0,206,27,73,178
129,Brandon Maurer\maurebr01,2019-01-30,Pittsburgh Pirates,KCR,28,-2.5,6,157,1,0,0,0,0,0,0,.000,.000,.000,.000,16,31,5.36,1.442,289,21,36,371.0,407,47,128,326
130,Jenrry Mejia\mejiaje01,2019-01-30,Boston Red Sox,NYM,29,,8,,,,,,,,,,,,,,,,,,,,,,,,
131,Martin Perez\perezma02,2019-01-30,Minnesota Twins,TEX,28,3.2,7,11,20,0,1,0,0,0,0,.050,.050,.050,.100,43,49,4.63,1.479,141,128,0,761.1,856,81,270,462
132,Mark Reynolds\reynoma01,2019-01-30,Colorado Rockies,WSN,35,2.0,12,1610,5297,781,1260,294,851,62,685,.238,.329,.456,.785,0,0,0.00,0.000,1,0,0,0.1,0,0,0,0
133,JB Shuck\shuckja01,2019-01-30,Pittsburgh Pirates,MIA,32,-2.8,6,433,1125,133,275,8,84,24,79,.244,.294,.316,.610,0,0,9.00,1.000,1,0,0,1.0,1,0,0,0
134,Ezequiel Carrera\carreez01,2019-01-29,Los Angeles Dodgers,NYM,32,0.4,7,,,,,,,,,,,,,,,,,,,,,,,,
135,Freddy Galvis\galvifr01,2019-01-29,Toronto Blue Jays,SDP,29,4.7,7,804,2867,298,704,65,300,51,173,.246,.290,.374,.664,,,,,,,,,,,,
136,Shawn Kelley\kellesh01,2019-01-29,Texas Rangers,OAK,35,1.9,10,187,2,0,0,0,0,0,0,.000,.000,.000,.000,27,23,3.67,1.167,443,0,15,417.1,357,64,130,478
137,Neil Walker\walkene01,2019-01-29,Miami Marlins,NYY,33,4.0,10,1173,4207,569,1127,141,568,29,417,.268,.339,.430,.768,,,,,,,,,,,,
138,Emilio Bonifacio\bonifem01,2019-01-28,Tampa Bay Rays,MIL,34,-0.7,11,,,,,,,,,,,,,,,,,,,,,,,,
139,Mike Olt\oltmi01,2019-01-28,Minnesota Twins,BOS,30,,6,,,,,,,,,,,,,,,,,,,,,,,,
140,Ricardo Pinto\pintori01,2019-01-28,Tampa Bay Rays,CHW,25,-0.9,1,25,1,1,0,0,0,0,0,.000,.000,.000,.000,1,2,7.89,1.888,25,0,0,29.2,39,7,17,25
141,Casey Sadler\sadleca02,2019-01-28,Tampa Bay Rays,PIT,28,-0.3,3,9,3,0,0,0,0,0,0,.000,.000,.000,.000,1,1,6.86,1.729,9,1,0,19.2,25,1,9,15
142,Luis Santos\santolu01,2019-01-28,Tampa Bay Rays,TOR,28,0.2,2,1,0,0,0,0,0,0,0,,,,,1,2,5.15,1.500,25,1,1,36.2,41,8,14,40
143,Justin Wilson\wilsoju10,2019-01-28,New York Mets,CHC,31,2.7,7,231,7,0,0,0,0,0,0,.000,.000,.000,.000,26,19,3.33,1.268,412,0,14,370.2,304,27,166,407
144,Hunter Strickland\strichu01,2019-01-27,Seattle Mariners,SFG,30,2.4,5,243,1,0,0,0,0,0,0,.000,.000,.000,.000,14,14,2.91,1.195,253,0,19,226.0,191,17,79,211
145,A.J. Pollock\polloaj01,2019-01-26,Los Angeles Dodgers,ARI,31,6.1,7,637,2277,367,640,74,264,103,185,.281,.338,.467,.805,,,,,,,,,,,,
146,Alec Asher\asheral01,2019-01-25,Colorado Rockies,MIL,27,0.7,4,15,18,0,3,0,2,0,0,.167,.167,.222,.389,4,12,5.42,1.379,38,18,0,119.2,127,19,38,78
147,Justin De Fratus\defraju01,2019-01-25,Los Angeles Dodgers,LAD,31,,7,,,,,,,,,,,,,,,,,,,,,,,,
148,Marco Estrada\estrama01,2019-01-25,Oakland Athletics,TOR,35,6.1,11,150,135,4,19,0,7,0,7,.141,.183,.170,.353,62,66,4.24,1.213,278,189,0,1227.2,1102,192,387,1083
149,George Kontos\kontoge01,2019-01-25,Chicago Cubs,NYY,34,1.8,8,313,7,0,0,0,0,0,0,.000,.000,.000,.000,18,18,3.10,1.154,350,0,2,357.0,309,38,103,288
150,Oliver Perez\perezol01,2019-01-25,Cleveland Indians,CLE,37,1.8,16,429,344,14,56,0,15,3,14,.163,.194,.169,.363,70,87,4.39,1.439,603,195,3,1399.1,1272,192,742,1479
151,Dustin Ackley\ackledu01,2019-01-24,Seattle Mariners,LAA,31,-0.3,7,,,,,,,,,,,,,,,,,,,,,,,,
152,Asdrubal Cabrera\cabreas01,2019-01-24,Texas Rangers,PHI,33,4.8,12,1529,5686,760,1530,162,705,86,477,.269,.330,.424,.754,,,,,,,,,,,,
